kalimat,label
Film ini sangat buruk dan mengecewakan ke-217,negatif
Film ini sangat buruk dan mengecewakan ke-218,negatif
Film ini sangat buruk dan mengecewakan ke-219,negatif
Film ini sangat buruk dan mengecewakan ke-220,negatif
Film ini sangat buruk dan mengecewakan ke-221,negatif
Film ini sangat buruk dan mengecewakan ke-222,negatif
Film ini sangat buruk dan mengecewakan ke-223,negatif
Film ini sangat buruk dan mengecewakan ke-224,negatif
Film ini sangat buruk dan mengecewakan ke-225,negatif
Film ini sangat buruk dan mengecewakan ke-226,negatif
Film ini sangat buruk dan mengecewakan ke-227,negatif
Film ini sangat buruk dan mengecewakan ke-228,negatif
Film ini sangat buruk dan mengecewakan ke-229,negatif
Film ini sangat buruk dan mengecewakan ke-230,negatif
Film ini sangat buruk dan mengecewakan ke-231,negatif
Film ini sangat buruk dan mengecewakan ke-232,negatif
Film ini sangat buruk dan mengecewakan ke-233,negatif
Film ini sangat buruk dan mengecewakan ke-234,negatif
Film ini sangat buruk dan mengecewakan ke-235,negatif
Film ini sangat buruk dan mengecewakan ke-236,negatif
Film ini sangat buruk dan mengecewakan ke-237,negatif
Film ini sangat buruk dan mengecewakan ke-238,negatif
Film ini sangat buruk dan mengecewakan ke-239,negatif
Film ini sangat buruk dan mengecewakan ke-240,negatif
Film ini sangat buruk dan mengecewakan ke-241,negatif
Film ini sangat buruk dan mengecewakan ke-242,negatif
Film ini sangat buruk dan mengecewakan ke-243,negatif
Film ini sangat buruk dan mengecewakan ke-244,negatif
Film ini sangat buruk dan mengecewakan ke-245,negatif
Film ini sangat buruk dan mengecewakan ke-246,negatif
Film ini sangat buruk dan mengecewakan ke-247,negatif
Film ini sangat buruk dan mengecewakan ke-248,negatif
Film ini sangat buruk dan mengecewakan ke-249,negatif
Film ini sangat buruk dan mengecewakan ke-250,negatif
Film ini sangat buruk dan mengecewakan ke-251,negatif
Film ini sangat buruk dan mengecewakan ke-252,negatif
Film ini sangat buruk dan mengecewakan ke-253,negatif
Film ini sangat buruk dan mengecewakan ke-254,negatif
Film ini sangat buruk dan mengecewakan ke-255,negatif
Film ini sangat buruk dan mengecewakan ke-256,negatif
Film ini sangat buruk dan mengecewakan ke-257,negatif
Film ini sangat buruk dan mengecewakan ke-258,negatif
Film ini sangat buruk dan mengecewakan ke-259,negatif
Film ini sangat buruk dan mengecewakan ke-260,negatif
Film ini sangat buruk dan mengecewakan ke-261,negatif
Film ini sangat buruk dan mengecewakan ke-262,negatif
Film ini sangat buruk dan mengecewakan ke-263,negatif
Film ini sangat buruk dan mengecewakan ke-264,negatif
Film ini sangat buruk dan mengecewakan ke-265,negatif
Film ini sangat buruk dan mengecewakan ke-266,negatif
Film ini sangat buruk dan mengecewakan ke-267,negatif
Film ini sangat buruk dan mengecewakan ke-268,negatif
Film ini sangat buruk dan mengecewakan ke-269,negatif
Film ini sangat buruk dan mengecewakan ke-270,negatif
Film ini sangat buruk dan mengecewakan ke-271,negatif
Film ini sangat buruk dan mengecewakan ke-272,negatif
Film ini sangat buruk dan mengecewakan ke-273,negatif
Film ini sangat buruk dan mengecewakan ke-274,negatif
Film ini sangat buruk dan mengecewakan ke-275,negatif
Film ini sangat buruk dan mengecewakan ke-276,negatif
Film ini sangat buruk dan mengecewakan ke-277,negatif
Film ini sangat buruk dan mengecewakan ke-278,negatif
Film ini sangat buruk dan mengecewakan ke-279,negatif
Film ini sangat buruk dan mengecewakan ke-280,negatif
Film ini sangat buruk dan mengecewakan ke-281,negatif
Film ini sangat buruk dan mengecewakan ke-282,negatif
Film ini sangat buruk dan mengecewakan ke-283,negatif
Film ini sangat buruk dan mengecewakan ke-284,negatif
Film ini sangat buruk dan mengecewakan ke-285,negatif
Film ini sangat buruk dan mengecewakan ke-286,negatif
Film ini sangat buruk dan mengecewakan ke-287,negatif
Film ini sangat buruk dan mengecewakan ke-288,negatif
Film ini sangat buruk dan mengecewakan ke-289,negatif
Film ini sangat buruk dan mengecewakan ke-290,negatif
Film ini sangat buruk dan mengecewakan ke-291,negatif
Film ini sangat buruk dan mengecewakan ke-292,negatif
Film ini sangat buruk dan mengecewakan ke-293,negatif
Film ini sangat buruk dan mengecewakan ke-294,negatif
Film ini sangat buruk dan mengecewakan ke-295,negatif
Film ini sangat buruk dan mengecewakan ke-296,negatif
Film ini sangat buruk dan mengecewakan ke-297,negatif
Film ini sangat buruk dan mengecewakan ke-298,negatif
Film ini sangat buruk dan mengecewakan ke-299,negatif
Film ini sangat buruk dan mengecewakan ke-300,negatif
Film ini sangat buruk dan mengecewakan ke-301,negatif
Film ini sangat buruk dan mengecewakan ke-302,negatif
Film ini sangat buruk dan mengecewakan ke-303,negatif
Film ini sangat buruk dan mengecewakan ke-304,negatif
Film ini sangat buruk dan mengecewakan ke-305,negatif
Film ini sangat buruk dan mengecewakan ke-306,negatif
Film ini sangat buruk dan mengecewakan ke-307,negatif
Film ini sangat buruk dan mengecewakan ke-308,negatif
Film ini sangat buruk dan mengecewakan ke-309,negatif
Film ini sangat buruk dan mengecewakan ke-310,negatif
Film ini sangat buruk dan mengecewakan ke-311,negatif
Film ini sangat buruk dan mengecewakan ke-312,negatif
Film ini sangat buruk dan mengecewakan ke-313,negatif
Film ini sangat buruk dan mengecewakan ke-314,negatif
Film ini sangat buruk dan mengecewakan ke-315,negatif
Film ini sangat buruk dan mengecewakan ke-316,negatif
Film ini sangat buruk dan mengecewakan ke-317,negatif
Film ini sangat buruk dan mengecewakan ke-318,negatif
Film ini sangat buruk dan mengecewakan ke-319,negatif
Film ini sangat buruk dan mengecewakan ke-320,negatif
Film ini sangat buruk dan mengecewakan ke-321,negatif
Film ini sangat buruk dan mengecewakan ke-322,negatif
Film ini sangat buruk dan mengecewakan ke-323,negatif
Film ini sangat buruk dan mengecewakan ke-324,negatif
Film ini sangat buruk dan mengecewakan ke-325,negatif
Film ini sangat buruk dan mengecewakan ke-326,negatif
Film ini sangat buruk dan mengecewakan ke-327,negatif
Film ini sangat buruk dan mengecewakan ke-328,negatif
Film ini sangat buruk dan mengecewakan ke-329,negatif
Film ini sangat buruk dan mengecewakan ke-330,negatif
Film ini sangat buruk dan mengecewakan ke-331,negatif
Film ini sangat buruk dan mengecewakan ke-332,negatif
Film ini sangat buruk dan mengecewakan ke-333,negatif
Film ini sangat buruk dan mengecewakan ke-334,negatif
Film ini sangat buruk dan mengecewakan ke-335,negatif
Film ini sangat buruk dan mengecewakan ke-336,negatif
Film ini sangat buruk dan mengecewakan ke-337,negatif
Film ini sangat buruk dan mengecewakan ke-338,negatif
Film ini sangat buruk dan mengecewakan ke-339,negatif
Film ini sangat buruk dan mengecewakan ke-340,negatif
Film ini sangat buruk dan mengecewakan ke-341,negatif
Film ini sangat buruk dan mengecewakan ke-342,negatif
Film ini sangat buruk dan mengecewakan ke-343,negatif
Film ini sangat buruk dan mengecewakan ke-344,negatif
Film ini sangat buruk dan mengecewakan ke-345,negatif
Film ini sangat buruk dan mengecewakan ke-346,negatif
Film ini sangat buruk dan mengecewakan ke-347,negatif
Film ini sangat buruk dan mengecewakan ke-348,negatif
Film ini sangat buruk dan mengecewakan ke-349,negatif
Film ini sangat buruk dan mengecewakan ke-350,negatif
Film ini cukup biasa saja ke-1,netral
Film ini cukup biasa saja ke-2,netral
Film ini cukup biasa saja ke-3,netral
Film ini cukup biasa saja ke-4,netral
Film ini cukup biasa saja ke-5,netral
Film ini cukup biasa saja ke-6,netral
Film ini cukup biasa saja ke-7,netral
Film ini cukup biasa saja ke-8,netral
Film ini cukup biasa saja ke-9,netral
Film ini cukup biasa saja ke-10,netral
Film ini cukup biasa saja ke-11,netral
Film ini cukup biasa saja ke-12,netral
Film ini cukup biasa saja ke-13,netral
Film ini cukup biasa saja ke-14,netral
Film ini cukup biasa saja ke-15,netral
Film ini cukup biasa saja ke-16,netral
Film ini cukup biasa saja ke-17,netral
Film ini cukup biasa saja ke-18,netral
Film ini cukup biasa saja ke-19,netral
Film ini cukup biasa saja ke-20,netral
Film ini cukup biasa saja ke-21,netral
Film ini cukup biasa saja ke-22,netral
Film ini cukup biasa saja ke-23,netral
Film ini cukup biasa saja ke-24,netral
Film ini cukup biasa saja ke-25,netral
Film ini cukup biasa saja ke-26,netral
Film ini cukup biasa saja ke-27,netral
Film ini cukup biasa saja ke-28,netral
Film ini cukup biasa saja ke-29,netral
Film ini cukup biasa saja ke-30,netral
Film ini cukup biasa saja ke-31,netral
Film ini cukup biasa saja ke-32,netral
Film ini cukup biasa saja ke-33,netral
Film ini cukup biasa saja ke-34,netral
Film ini cukup biasa saja ke-35,netral
Film ini cukup biasa saja ke-36,netral
Film ini cukup biasa saja ke-37,netral
Film ini cukup biasa saja ke-38,netral
Film ini cukup biasa saja ke-39,netral
Film ini cukup biasa saja ke-40,netral
Film ini cukup biasa saja ke-41,netral
Film ini cukup biasa saja ke-42,netral
Film ini cukup biasa saja ke-43,netral
Film ini cukup biasa saja ke-44,netral
Film ini cukup biasa saja ke-45,netral
Film ini cukup biasa saja ke-46,netral
Film ini cukup biasa saja ke-47,netral
Film ini cukup biasa saja ke-48,netral
Film ini cukup biasa saja ke-49,netral
Film ini cukup biasa saja ke-50,netral
Film ini cukup biasa saja ke-51,netral
Film ini cukup biasa saja ke-52,netral
Film ini cukup biasa saja ke-53,netral
Film ini cukup biasa saja ke-54,netral
Film ini cukup biasa saja ke-55,netral
Film ini cukup biasa saja ke-56,netral
Film ini cukup biasa saja ke-57,netral
Film ini cukup biasa saja ke-58,netral
Film ini cukup biasa saja ke-59,netral
Film ini cukup biasa saja ke-60,netral
Film ini cukup biasa saja ke-61,netral
Film ini cukup biasa saja ke-62,netral
Film ini cukup biasa saja ke-63,netral
Film ini cukup biasa saja ke-64,netral
Film ini cukup biasa saja ke-65,netral
Film ini cukup biasa saja ke-66,netral
Film ini cukup biasa saja ke-67,netral
Film ini cukup biasa saja ke-68,netral
Film ini cukup biasa saja ke-69,netral
Film ini cukup biasa saja ke-70,netral
Film ini cukup biasa saja ke-71,netral
Film ini cukup biasa saja ke-72,netral
Film ini cukup biasa saja ke-73,netral
Film ini cukup biasa saja ke-74,netral
Film ini cukup biasa saja ke-75,netral
Film ini cukup biasa saja ke-76,netral
Film ini cukup biasa saja ke-77,netral
Film ini cukup biasa saja ke-78,netral
Film ini cukup biasa saja ke-79,netral
Film ini cukup biasa saja ke-80,netral
Film ini cukup biasa saja ke-81,netral
Film ini cukup biasa saja ke-82,netral
Film ini cukup biasa saja ke-83,netral
Film ini cukup biasa saja ke-84,netral
Film ini cukup biasa saja ke-85,netral
Film ini cukup biasa saja ke-86,netral
Film ini cukup biasa saja ke-87,netral
Film ini cukup biasa saja ke-88,netral
Film ini cukup biasa saja ke-89,netral
Film ini cukup biasa saja ke-90,netral
Film ini cukup biasa saja ke-91,netral
Film ini cukup biasa saja ke-92,netral
Film ini cukup biasa saja ke-93,netral
Film ini cukup biasa saja ke-94,netral
Film ini cukup biasa saja ke-95,netral
Film ini cukup biasa saja ke-96,netral
Film ini cukup biasa saja ke-97,netral
Film ini cukup biasa saja ke-98,netral
Film ini cukup biasa saja ke-99,netral
Film ini cukup biasa saja ke-100,netral
Film ini cukup biasa saja ke-101,netral
Film ini cukup biasa saja ke-102,netral
Film ini cukup biasa saja ke-103,netral
Film ini cukup biasa saja ke-104,netral
Film ini cukup biasa saja ke-105,netral
Film ini cukup biasa saja ke-106,netral
Film ini cukup biasa saja ke-107,netral
Film ini cukup biasa saja ke-108,netral
Film ini cukup biasa saja ke-109,netral
Film ini cukup biasa saja ke-110,netral
Film ini cukup biasa saja ke-111,netral
Film ini cukup biasa saja ke-112,netral
Film ini cukup biasa saja ke-113,netral
Film ini cukup biasa saja ke-114,netral
Film ini cukup biasa saja ke-115,netral
Film ini cukup biasa saja ke-116,netral
Film ini cukup biasa saja ke-117,netral
Film ini cukup biasa saja ke-118,netral
Film ini cukup biasa saja ke-119,netral
Film ini cukup biasa saja ke-120,netral
Film ini cukup biasa saja ke-121,netral
Film ini cukup biasa saja ke-122,netral
Film ini cukup biasa saja ke-123,netral
Film ini cukup biasa saja ke-124,netral
Film ini cukup biasa saja ke-125,netral
Film ini cukup biasa saja ke-126,netral
Film ini cukup biasa saja ke-127,netral
Film ini cukup biasa saja ke-128,netral
Film ini cukup biasa saja ke-129,netral
Film ini cukup biasa saja ke-130,netral
Film ini cukup biasa saja ke-131,netral
Film ini cukup biasa saja ke-132,netral
Film ini cukup biasa saja ke-133,netral
Film ini cukup biasa saja ke-134,netral
Film ini cukup biasa saja ke-135,netral
Film ini cukup biasa saja ke-136,netral
Film ini cukup biasa saja ke-137,netral
Film ini cukup biasa saja ke-138,netral
Film ini cukup biasa saja ke-139,netral
Film ini cukup biasa saja ke-140,netral
Film ini cukup biasa saja ke-141,netral
Film ini cukup biasa saja ke-142,netral
Film ini cukup biasa saja ke-143,netral
Film ini cukup biasa saja ke-144,netral
Film ini cukup biasa saja ke-145,netral
Film ini cukup biasa saja ke-146,netral
Film ini cukup biasa saja ke-147,netral
Film ini cukup biasa saja ke-148,netral
Film ini cukup biasa saja ke-149,netral
Film ini cukup biasa saja ke-150,netral
Film ini cukup biasa saja ke-151,netral
Film ini cukup biasa saja ke-152,netral
Film ini cukup biasa saja ke-153,netral
Film ini cukup biasa saja ke-154,netral
Film ini cukup biasa saja ke-155,netral
Film ini cukup biasa saja ke-156,netral
Film ini cukup biasa saja ke-157,netral
Film ini cukup biasa saja ke-158,netral
Film ini cukup biasa saja ke-159,netral
Film ini cukup biasa saja ke-160,netral
Film ini cukup biasa saja ke-161,netral
Film ini cukup biasa saja ke-162,netral
Film ini cukup biasa saja ke-163,netral
Film ini cukup biasa saja ke-164,netral
Film ini cukup biasa saja ke-165,netral
Film ini cukup biasa saja ke-166,netral
Film ini cukup biasa saja ke-167,netral
Film ini cukup biasa saja ke-168,netral
Film ini cukup biasa saja ke-169,netral
Film ini cukup biasa saja ke-170,netral
Film ini cukup biasa saja ke-171,netral
Film ini cukup biasa saja ke-172,netral
Film ini cukup biasa saja ke-173,netral
Film ini cukup biasa saja ke-174,netral
Film ini cukup biasa saja ke-175,netral
Film ini cukup biasa saja ke-176,netral
Film ini cukup biasa saja ke-177,netral
Film ini cukup biasa saja ke-178,netral
Film ini cukup biasa saja ke-179,netral
Film ini cukup biasa saja ke-180,netral
Film ini cukup biasa saja ke-181,netral
Film ini cukup biasa saja ke-182,netral
Film ini cukup biasa saja ke-183,netral
Film ini cukup biasa saja ke-184,netral
Film ini cukup biasa saja ke-185,netral
Film ini cukup biasa saja ke-186,netral
Film ini cukup biasa saja ke-187,netral
Film ini cukup biasa saja ke-188,netral
Film ini cukup biasa saja ke-189,netral
Film ini cukup biasa saja ke-190,netral
Film ini cukup biasa saja ke-191,netral
Film ini cukup biasa saja ke-192,netral
Film ini cukup biasa saja ke-193,netral
Film ini cukup biasa saja ke-194,netral
Film ini cukup biasa saja ke-195,netral
Film ini cukup biasa saja ke-196,netral
Film ini cukup biasa saja ke-197,netral
Film ini cukup biasa saja ke-198,netral
Film ini cukup biasa saja ke-199,netral
Film ini cukup biasa saja ke-200,netral
Film ini cukup biasa saja ke-201,netral
Film ini cukup biasa saja ke-202,netral
Film ini cukup biasa saja ke-203,netral
Film ini cukup biasa saja ke-204,netral
Film ini cukup biasa saja ke-205,netral
Film ini cukup biasa saja ke-206,netral
Film ini cukup biasa saja ke-207,netral
Film ini cukup biasa saja ke-208,netral
Film ini cukup biasa saja ke-209,netral
Film ini cukup biasa saja ke-210,netral
Film ini cukup biasa saja ke-211,netral
Film ini cukup biasa saja ke-212,netral
Film ini cukup biasa saja ke-213,netral
Film ini cukup biasa saja ke-214,netral
Film ini cukup biasa saja ke-215,netral
Film ini cukup biasa saja ke-216,netral
Film ini cukup biasa saja ke-217,netral
Film ini cukup biasa saja ke-218,netral
Film ini cukup biasa saja ke-219,netral
Film ini cukup biasa saja ke-220,netral
Film ini cukup biasa saja ke-221,netral
Film ini cukup biasa saja ke-222,netral
Film ini cukup biasa saja ke-223,netral
Film ini cukup biasa saja ke-224,netral
Film ini cukup biasa saja ke-225,netral
Film ini cukup biasa saja ke-226,netral
Film ini cukup biasa saja ke-227,netral
Film ini cukup biasa saja ke-228,netral
Film ini cukup biasa saja ke-229,netral
Film ini cukup biasa saja ke-230,netral
Film ini cukup biasa saja ke-231,netral
Film ini cukup biasa saja ke-232,netral
Film ini cukup biasa saja ke-233,netral
Film ini cukup biasa saja ke-234,netral
Film ini cukup biasa saja ke-235,netral
Film ini cukup biasa saja ke-236,netral
Film ini cukup biasa saja ke-237,netral
Film ini cukup biasa saja ke-238,netral
Film ini cukup biasa saja ke-239,netral
Film ini cukup biasa saja ke-240,netral
Film ini cukup biasa saja ke-241,netral
Film ini cukup biasa saja ke-242,netral
Film ini cukup biasa saja ke-243,netral
Film ini cukup biasa saja ke-244,netral
Film ini cukup biasa saja ke-245,netral
Film ini cukup biasa saja ke-246,netral
Film ini cukup biasa saja ke-247,netral
Film ini cukup biasa saja ke-248,netral
Film ini cukup biasa saja ke-249,netral
Film ini cukup biasa saja ke-250,netral
Film ini cukup biasa saja ke-251,netral
Film ini cukup biasa saja ke-252,netral
Film ini cukup biasa saja ke-253,netral
Film ini cukup biasa saja ke-254,netral
Film ini cukup biasa saja ke-255,netral
Film ini cukup biasa saja ke-256,netral
Film ini cukup biasa saja ke-257,netral
Film ini cukup biasa saja ke-258,netral
Film ini cukup biasa saja ke-259,netral
Film ini cukup biasa saja ke-260,netral
Film ini cukup biasa saja ke-261,netral
Film ini cukup biasa saja ke-262,netral
Film ini cukup biasa saja ke-263,netral
Film ini cukup biasa saja ke-264,netral
Film ini cukup biasa saja ke-265,netral
Film ini cukup biasa saja ke-266,netral
Film ini cukup biasa saja ke-267,netral
Film ini cukup biasa saja ke-268,netral
Film ini cukup biasa saja ke-269,netral
Film ini cukup biasa saja ke-270,netral
Film ini cukup biasa saja ke-271,netral
Film ini cukup biasa saja ke-272,netral
Film ini cukup biasa saja ke-273,netral
Film ini cukup biasa saja ke-274,netral
Film ini cukup biasa saja ke-275,netral
Film ini cukup biasa saja ke-276,netral
Film ini cukup biasa saja ke-277,netral
Film ini cukup biasa saja ke-278,netral
Film ini cukup biasa saja ke-279,netral
Film ini cukup biasa saja ke-280,netral
Film ini cukup biasa saja ke-281,netral
Film ini cukup biasa saja ke-282,netral
Film ini cukup biasa saja ke-283,netral
Film ini cukup biasa saja ke-284,netral
Film ini cukup biasa saja ke-285,netral
Film ini cukup biasa saja ke-286,netral
Film ini cukup biasa saja ke-287,netral
Film ini cukup biasa saja ke-288,netral
Film ini cukup biasa saja ke-289,netral
Film ini cukup biasa saja ke-290,netral
Film ini cukup biasa saja ke-291,netral
Film ini cukup biasa saja ke-292,netral
Film ini cukup biasa saja ke-293,netral
Film ini cukup biasa saja ke-294,netral
Film ini cukup biasa saja ke-295,netral
Film ini cukup biasa saja ke-296,netral
Film ini cukup biasa saja ke-297,netral
Film ini cukup biasa saja ke-298,netral
Film ini cukup biasa saja ke-299,netral
Film ini cukup biasa saja ke-300,netral
